epoch,step,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,0.0146484375,4.519253253936768,,,
0,19,0.0126953125,4.430896282196045,,,
0,29,0.0234375,4.356197834014893,,,
0,39,0.017578125,4.3630781173706055,,,
0,48,,,0.02879999950528145,0.02879999950528145,4.321747303009033
1,49,0.02734375,4.268547534942627,,,
1,59,0.0234375,4.297606468200684,,,
1,69,0.02734375,4.295163154602051,,,
1,79,0.041015625,4.258294582366943,,,
1,89,0.03515625,4.208611488342285,,,
1,97,,,0.03739999979734421,0.03739999979734421,4.2060627937316895
