epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.017578125,4.548097610473633,,,
0,19,,,0.0205078125,4.4338836669921875,,,
0,29,,,0.0234375,4.385585784912109,,,
0,39,,,0.0341796875,4.310680866241455,,,
0,48,,,,,0.02500000037252903,0.02500000037252903,4.3974833488464355
1,49,,,0.0380859375,4.275129795074463,,,
1,59,,,0.0380859375,4.279500961303711,,,
1,69,,,0.0361328125,4.289542198181152,,,
1,79,,,0.0224609375,4.244713306427002,,,
1,89,,,0.0390625,4.2347493171691895,,,
1,97,,,,,0.03819999843835831,0.03819999843835831,4.208376407623291
2,99,,,0.0380859375,4.209612846374512,,,
2,109,,,0.0283203125,4.2411956787109375,,,
2,119,,,0.0302734375,4.259361743927002,,,
2,129,,,0.033203125,4.221177577972412,,,
2,139,,,0.03125,4.22396183013916,,,
2,146,,,,,0.03920000046491623,0.03920000046491623,4.156192779541016
3,149,,,0.0400390625,4.185269832611084,,,
3,159,,,0.0458984375,4.123682975769043,,,
3,169,,,0.0537109375,4.094603538513184,,,
3,179,,,0.0380859375,4.148104667663574,,,
3,189,,,0.046875,4.13812780380249,,,
3,195,,,,,0.04639999940991402,0.04639999940991402,4.047729015350342
4,199,,,0.041015625,4.098484992980957,,,
4,209,,,0.044921875,4.076977252960205,,,
4,219,,,0.044921875,4.097339153289795,,,
4,229,,,0.064453125,4.059834003448486,,,
4,239,,,0.0634765625,4.0332818031311035,,,
4,244,,,,,0.06379999965429306,0.06379999965429306,3.9375405311584473
5,249,,,0.0703125,3.9942994117736816,,,
5,259,,,0.0634765625,4.037593841552734,,,
5,269,,,0.0771484375,3.988083839416504,,,
5,279,,,0.0634765625,3.9945452213287354,,,
5,289,,,0.0712890625,3.9669785499572754,,,
5,293,,,,,0.07720000296831131,0.07720000296831131,3.8778235912323
6,299,,,0.072265625,3.946922779083252,,,
6,309,,,0.0673828125,3.976674795150757,,,
6,319,,,0.0908203125,3.9234800338745117,,,
6,329,,,0.087890625,3.89695405960083,,,
6,339,,,0.0849609375,3.9203672409057617,,,
6,342,,,,,0.09279999881982803,0.09279999881982803,3.829000473022461
7,349,,,0.064453125,3.905325412750244,,,
7,359,,,0.060546875,3.9280171394348145,,,
7,369,,,0.072265625,3.923299789428711,,,
7,379,,,0.0703125,3.894731044769287,,,
7,389,,,0.1025390625,3.855107307434082,,,
7,391,,,,,0.09279999881982803,0.08959999680519104,3.785776138305664
8,399,,,0.0986328125,3.8459272384643555,,,
8,409,,,0.09375,3.8719682693481445,,,
8,419,,,0.0810546875,3.901651620864868,,,
8,429,,,0.0869140625,3.835378646850586,,,
8,439,,,0.091796875,3.871913194656372,,,
8,440,,,,,0.09860000014305115,0.09860000014305115,3.7572872638702393
9,449,,,0.083984375,3.859184503555298,,,
9,459,,,0.078125,3.8509652614593506,,,
9,469,,,0.087890625,3.893514633178711,,,
9,479,,,0.10546875,3.7822911739349365,,,
9,489,,,0.10141509771347046,3.8458268642425537,,,
9,489,,,,,0.11580000072717667,0.11580000072717667,3.6600143909454346
10,499,,,0.1015625,3.797910451889038,,,
10,509,,,0.109375,3.7130043506622314,,,
10,519,,,0.1005859375,3.8061153888702393,,,
10,529,,,0.109375,3.7532715797424316,,,
10,538,,,,,0.11599999666213989,0.11599999666213989,3.634927272796631
11,539,,,0.1162109375,3.7280454635620117,,,
11,549,,,0.11328125,3.7457356452941895,,,
11,559,,,0.1123046875,3.7771356105804443,,,
11,569,,,0.09765625,3.7688231468200684,,,
11,579,,,0.1083984375,3.7077348232269287,,,
11,587,,,,,0.12620000541210175,0.12620000541210175,3.6031136512756348
12,589,,,0.12109375,3.7278051376342773,,,
12,599,,,0.1142578125,3.7127702236175537,,,
12,609,,,0.11328125,3.7112061977386475,,,
12,619,,,0.1171875,3.6944541931152344,,,
12,629,,,0.1005859375,3.7569174766540527,,,
12,636,,,,,0.12620000541210175,0.11879999935626984,3.656872272491455
13,639,,,0.1083984375,3.681037425994873,,,
13,649,,,0.111328125,3.7701478004455566,,,
13,659,,,0.1494140625,3.633634567260742,,,
13,669,,,0.1240234375,3.708574056625366,,,
13,679,,,0.1318359375,3.634615182876587,,,
13,685,,,,,0.12620000541210175,0.1151999980211258,3.683411121368408
14,689,,,0.1162109375,3.614694118499756,,,
14,699,,,0.1201171875,3.6583962440490723,,,
14,709,,,0.126953125,3.6180436611175537,,,
14,719,,,0.1220703125,3.6523935794830322,,,
14,729,,,0.126953125,3.6419689655303955,,,
14,734,,,,,0.14800000190734863,0.14800000190734863,3.476958751678467
15,739,,,0.12109375,3.6460084915161133,,,
15,749,,,0.12109375,3.682097911834717,,,
15,759,,,0.12109375,3.6188225746154785,,,
15,769,,,0.138671875,3.565715789794922,,,
15,779,,,0.1279296875,3.595771074295044,,,
15,783,,,,,0.14800000190734863,0.1446000039577484,3.487008571624756
16,789,,,0.14453125,3.508171558380127,,,
16,799,,,0.140625,3.5342023372650146,,,
16,809,,,0.13671875,3.532062292098999,,,
16,819,,,0.1455078125,3.5320332050323486,,,
16,829,,,0.138671875,3.5481104850769043,,,
16,832,,,,,0.14800000190734863,0.1404000073671341,3.5638625621795654
17,839,,,0.1552734375,3.500392436981201,,,
17,849,,,0.140625,3.5302321910858154,,,
17,859,,,0.15234375,3.4081573486328125,,,
17,869,,,0.142578125,3.515331745147705,,,
17,879,,,0.125,3.5320913791656494,,,
17,881,,,,,0.14800000190734863,0.147599995136261,3.460184097290039
18,889,,,0.1435546875,3.5653576850891113,,,
18,899,,,0.15625,3.4587366580963135,,,
18,909,,,0.1396484375,3.4510998725891113,,,
18,919,,,0.1455078125,3.47517991065979,,,
18,929,,,0.140625,3.5197644233703613,,,
18,930,,,,,0.14800000190734863,0.1469999998807907,3.4596457481384277
19,939,,,0.1796875,3.469597339630127,,,
19,949,,,0.171875,3.3543717861175537,,,
19,959,,,0.1640625,3.352687358856201,,,
19,969,,,0.1630859375,3.4707560539245605,,,
19,979,,,0.1533018797636032,3.4768831729888916,,,
19,979,,,,,0.1793999969959259,0.1793999969959259,3.3209872245788574
20,989,,,0.1640625,3.4099619388580322,,,
20,999,,,0.1572265625,3.493541955947876,,,
20,1009,,,0.1640625,3.5077202320098877,,,
20,1019,,,0.150390625,3.5101451873779297,,,
20,1028,,,,,0.19740000367164612,0.19740000367164612,3.180269241333008
21,1029,,,0.17578125,3.424518346786499,,,
21,1039,,,0.1767578125,3.347719669342041,,,
21,1049,,,0.1328125,3.4893853664398193,,,
21,1059,,,0.1630859375,3.4011940956115723,,,
21,1069,,,0.1572265625,3.366576910018921,,,
21,1077,,,,,0.19740000367164612,0.18940000236034393,3.236478328704834
22,1079,,,0.1591796875,3.399035692214966,,,
22,1089,,,0.1767578125,3.353267192840576,,,
22,1099,,,0.1552734375,3.2916808128356934,,,
22,1109,,,0.1669921875,3.329211950302124,,,
22,1119,,,0.162109375,3.494997978210449,,,
22,1126,,,,,0.19740000367164612,0.19099999964237213,3.2000746726989746
23,1129,,,0.1826171875,3.309305191040039,,,
23,1139,,,0.1875,3.2941184043884277,,,
23,1149,,,0.1826171875,3.346785068511963,,,
23,1159,,,0.177734375,3.266803741455078,,,
23,1169,,,0.1796875,3.373638868331909,,,
23,1175,,,,,0.19740000367164612,0.19280000030994415,3.2578392028808594
24,1179,,,0.1708984375,3.342176675796509,,,
24,1189,,,0.1787109375,3.258714437484741,,,
24,1199,,,0.1982421875,3.2357215881347656,,,
24,1209,,,0.1953125,3.2839221954345703,,,
24,1219,,,0.2109375,3.204063892364502,,,
24,1224,,,,,0.19740000367164612,0.1754000037908554,3.6408944129943848
25,1229,,,0.1923828125,3.2289392948150635,,,
25,1239,,,0.185546875,3.3000457286834717,,,
25,1249,,,0.2041015625,3.2188713550567627,,,
25,1259,,,0.201171875,3.274545907974243,,,
25,1269,,,0.1767578125,3.252518892288208,,,
25,1273,,,,,0.22280000150203705,0.22280000150203705,3.0304930210113525
26,1279,,,0.193359375,3.2170794010162354,,,
26,1289,,,0.203125,3.2635011672973633,,,
26,1299,,,0.2021484375,3.274574041366577,,,
26,1309,,,0.1904296875,3.2329933643341064,,,
26,1319,,,0.1796875,3.3429598808288574,,,
26,1322,,,,,0.22280000150203705,0.19859999418258667,3.302999496459961
27,1329,,,0.21484375,3.1826794147491455,,,
27,1339,,,0.1865234375,3.296748161315918,,,
27,1349,,,0.23046875,3.1820991039276123,,,
27,1359,,,0.1865234375,3.2735116481781006,,,
27,1369,,,0.2041015625,3.2135074138641357,,,
