RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.0439453125,4.349821090698242,,,
,0,19,,,0.0498046875,4.20741605758667,,,
,0,29,,,0.0830078125,4.041742324829102,,,
,0,39,,,0.0595703125,4.050942420959473,,,
,0,48,,,,,0.09480000287294388,0.09480000287294388,3.870258331298828
,1,49,,,0.0849609375,3.920635461807251,,,
,1,59,,,0.087890625,3.878993034362793,,,
,1,69,,,0.0986328125,3.9198455810546875,,,
,1,79,,,0.1083984375,3.841090440750122,,,
,1,89,,,0.1103515625,3.8170547485351562,,,
,1,97,,,,,0.11379999667406082,0.11379999667406082,3.8040218353271484
,2,99,,,0.107421875,3.8013999462127686,,,
,2,109,,,0.1220703125,3.7543652057647705,,,
,2,119,,,0.1044921875,3.7189207077026367,,,
,2,129,,,0.1005859375,3.7923367023468018,,,
,2,139,,,0.1181640625,3.7783775329589844,,,
,2,146,,,,,0.1404000073671341,0.1404000073671341,3.5977492332458496
,3,149,,,0.1337890625,3.7059500217437744,,,
,3,159,,,0.126953125,3.6292505264282227,,,
,3,169,,,0.140625,3.663499593734741,,,
,3,179,,,0.1435546875,3.638322114944458,,,
,3,189,,,0.138671875,3.6178221702575684,,,
,3,195,,,,,0.15559999644756317,0.15559999644756317,3.543828248977661
,4,199,,,0.1611328125,3.5644423961639404,,,
,4,209,,,0.1337890625,3.6111903190612793,,,
,4,219,,,0.162109375,3.5348191261291504,,,
,4,229,,,0.1806640625,3.4701385498046875,,,
,4,239,,,0.16015625,3.5462799072265625,,,
,4,244,,,,,0.18060000240802765,0.18060000240802765,3.3829262256622314
,5,249,,,0.140625,3.5222551822662354,,,
,5,259,,,0.15234375,3.546083450317383,,,
,5,269,,,0.171875,3.496485471725464,,,
,5,279,,,0.1640625,3.502908706665039,,,
,5,289,,,0.162109375,3.533317804336548,,,
,5,293,,,,,0.2037999927997589,0.2037999927997589,3.281599521636963
,6,299,,,0.169921875,3.4989941120147705,,,
,6,309,,,0.189453125,3.4018962383270264,,,
,6,319,,,0.1494140625,3.5174732208251953,,,
,6,329,,,0.1650390625,3.451326847076416,,,
,6,339,,,0.173828125,3.4754536151885986,,,
,6,342,,,,,0.20980000495910645,0.20980000495910645,3.2220261096954346
,7,349,,,0.1689453125,3.429523229598999,,,
,7,359,,,0.189453125,3.372469902038574,,,
,7,369,,,0.1796875,3.37300705909729,,,
,7,379,,,0.1962890625,3.3752524852752686,,,
,7,389,,,0.177734375,3.450514078140259,,,
,7,391,,,,,0.20980000495910645,0.20919999480247498,3.2011096477508545
,8,399,,,0.1748046875,3.367938280105591,,,
,8,409,,,0.203125,3.350442409515381,,,
,8,419,,,0.189453125,3.3344624042510986,,,
,8,429,,,0.1845703125,3.3502533435821533,,,
,8,439,,,0.1787109375,3.353182315826416,,,
,8,440,,,,,0.21799999475479126,0.21799999475479126,3.173553943634033
,9,449,,,0.2041015625,3.3461008071899414,,,
,9,459,,,0.1953125,3.33246111869812,,,
,9,469,,,0.173828125,3.305549144744873,,,
,9,479,,,0.1923828125,3.3073925971984863,,,
,9,489,,,0.19575472176074982,3.304830551147461,,,
,9,489,,,,,0.21799999475479126,0.21739999949932098,3.1608774662017822
,10,499,,,0.208984375,3.2964160442352295,,,
,10,509,,,0.205078125,3.273909091949463,,,
,10,519,,,0.2021484375,3.324087381362915,,,
,10,529,,,0.2021484375,3.262272596359253,,,
,10,538,,,,,0.2280000001192093,0.2280000001192093,3.1090798377990723
,11,539,,,0.2060546875,3.2883377075195312,,,
,11,549,,,0.2021484375,3.2420873641967773,,,
,11,559,,,0.220703125,3.2364890575408936,,,
,11,569,,,0.23046875,3.2232275009155273,,,
,11,579,,,0.185546875,3.302659749984741,,,
,11,587,,,,,0.2282000035047531,0.2282000035047531,3.1457784175872803
,12,589,,,0.19140625,3.2948849201202393,,,
,12,599,,,0.1962890625,3.312040090560913,,,
,12,609,,,0.197265625,3.253450632095337,,,
,12,619,,,0.205078125,3.329578161239624,,,
,12,629,,,0.2119140625,3.2204854488372803,,,
,12,636,,,,,0.23479999601840973,0.23479999601840973,3.1070194244384766
,13,639,,,0.208984375,3.2389981746673584,,,
,13,649,,,0.1806640625,3.260497808456421,,,
,13,659,,,0.2294921875,3.1683948040008545,,,
,13,669,,,0.2265625,3.1759111881256104,,,
,13,679,,,0.2109375,3.2300326824188232,,,
,13,685,,,,,0.23880000412464142,0.23880000412464142,3.0597453117370605
,14,689,,,0.2119140625,3.3224706649780273,,,
,14,699,,,0.220703125,3.160654067993164,,,
,14,709,,,0.2021484375,3.247211456298828,,,
,14,719,,,0.201171875,3.2489519119262695,,,
,14,729,,,0.2158203125,3.281735420227051,,,
,14,734,,,,,0.2502000033855438,0.2502000033855438,2.9899303913116455
,15,739,,,0.2255859375,3.2231719493865967,,,
,15,749,,,0.2236328125,3.2000820636749268,,,
,15,759,,,0.234375,3.0590384006500244,,,
,15,769,,,0.234375,3.1393046379089355,,,
,15,779,,,0.2158203125,3.1745429039001465,,,
,15,783,,,,,0.2556000053882599,0.2556000053882599,2.960204601287842
,16,789,,,0.2109375,3.2329494953155518,,,
,16,799,,,0.228515625,3.1484408378601074,,,
,16,809,,,0.21875,3.1830437183380127,,,
,16,819,,,0.2470703125,3.112854480743408,,,
,16,829,,,0.2353515625,3.109039068222046,,,
,16,832,,,,,0.2556000053882599,0.24879999458789825,3.0402534008026123
,17,839,,,0.23046875,3.1386680603027344,,,
,17,849,,,0.220703125,3.1629750728607178,,,
,17,859,,,0.2138671875,3.207443952560425,,,
,17,869,,,0.2158203125,3.2017295360565186,,,
,17,879,,,0.244140625,3.1558971405029297,,,
,17,881,,,,,0.2556000053882599,0.25380000472068787,2.9745635986328125
,18,889,,,0.21484375,3.1509504318237305,,,
,18,899,,,0.2353515625,3.137519121170044,,,
,18,909,,,0.2099609375,3.1826014518737793,,,
,18,919,,,0.2470703125,3.085575580596924,,,
,18,929,,,0.2158203125,3.186419725418091,,,
,18,930,,,,,0.257999986410141,0.257999986410141,2.9867215156555176
,19,939,,,0.2353515625,3.1482417583465576,,,
,19,949,,,0.2275390625,3.1578316688537598,,,
,19,959,,,0.2412109375,3.1160662174224854,,,
,19,969,,,0.2392578125,3.0418903827667236,,,
,19,979,,,0.23113207519054413,3.199692964553833,,,
,19,979,,,,,0.26159998774528503,0.26159998774528503,2.9416184425354004
,20,989,,,0.2490234375,3.0389792919158936,,,
,20,999,,,0.2333984375,3.134247303009033,,,
,20,1009,,,0.21875,3.1830904483795166,,,
,20,1019,,,0.25,3.1552302837371826,,,
,20,1028,,,,,0.26159998774528503,0.2558000087738037,2.989375352859497
,21,1029,,,0.25390625,3.014145851135254,,,
,21,1039,,,0.2421875,3.0725698471069336,,,
,21,1049,,,0.232421875,3.109562873840332,,,
,21,1059,,,0.2265625,3.1442923545837402,,,
,21,1069,,,0.21875,3.1719069480895996,,,
,21,1077,,,,,0.2786000072956085,0.2786000072956085,2.874596118927002
,22,1079,,,0.251953125,3.077972650527954,,,
,22,1089,,,0.248046875,3.046142339706421,,,
,22,1099,,,0.2431640625,3.0553324222564697,,,
