epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.029296875,4.396099090576172,,,
0,19,,,0.0390625,4.199159622192383,,,
0,29,,,0.060546875,4.111523151397705,,,
0,39,,,0.0654296875,4.051616191864014,,,
0,48,,,,,0.06319999694824219,0.06319999694824219,4.092865943908691
1,49,,,0.078125,3.988327980041504,,,
1,59,,,0.0830078125,3.9273784160614014,,,
1,69,,,0.0947265625,3.8089566230773926,,,
1,79,,,0.087890625,3.8717243671417236,,,
1,89,,,0.095703125,3.8564059734344482,,,
1,97,,,,,0.09780000150203705,0.09780000150203705,3.728132724761963
2,99,,,0.0888671875,3.808629035949707,,,
2,109,,,0.11328125,3.7429981231689453,,,
2,119,,,0.123046875,3.7218024730682373,,,
2,129,,,0.1181640625,3.777989387512207,,,
2,139,,,0.1259765625,3.7070670127868652,,,
2,146,,,,,0.13339999318122864,0.13339999318122864,3.5856056213378906
3,149,,,0.1171875,3.6571431159973145,,,
3,159,,,0.126953125,3.7187442779541016,,,
3,169,,,0.125,3.628514051437378,,,
3,179,,,0.1328125,3.6309638023376465,,,
3,189,,,0.138671875,3.6147243976593018,,,
3,195,,,,,0.14980000257492065,0.14980000257492065,3.4583466053009033
4,199,,,0.1396484375,3.5261099338531494,,,
4,209,,,0.142578125,3.503966808319092,,,
4,219,,,0.1533203125,3.5657005310058594,,,
4,229,,,0.142578125,3.546902656555176,,,
4,239,,,0.15234375,3.5049097537994385,,,
4,244,,,,,0.14980000257492065,0.1348000019788742,3.6207993030548096
5,249,,,0.1474609375,3.5316150188446045,,,
5,259,,,0.1748046875,3.4292452335357666,,,
5,269,,,0.1630859375,3.417712450027466,,,
5,279,,,0.1845703125,3.4118282794952393,,,
5,289,,,0.185546875,3.4190330505371094,,,
5,293,,,,,0.15940000116825104,0.15940000116825104,3.4547829627990723
6,299,,,0.1591796875,3.425947427749634,,,
6,309,,,0.15234375,3.4102249145507812,,,
6,319,,,0.189453125,3.36893367767334,,,
6,329,,,0.17578125,3.340985059738159,,,
