RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.0185546875,4.5532660484313965,,,
,0,19,,,0.0205078125,4.503343105316162,,,
,0,29,,,0.01953125,4.442279815673828,,,
,0,39,,,0.0205078125,4.4167256355285645,,,
,0,48,,,,,0.01940000057220459,0.01940000057220459,4.407958984375
,1,49,,,0.0205078125,4.387026309967041,,,
,1,59,,,0.0234375,4.365013122558594,,,
,1,69,,,0.0283203125,4.2560906410217285,,,
,1,79,,,0.0302734375,4.299637317657471,,,
,1,89,,,0.021484375,4.246195316314697,,,
,1,97,,,,,0.023600000888109207,0.023600000888109207,4.532417297363281
,2,99,,,0.025390625,4.236603736877441,,,
,2,109,,,0.03515625,4.241038799285889,,,
,2,119,,,0.0400390625,4.1860222816467285,,,
,2,129,,,0.0400390625,4.1721320152282715,,,
,2,139,,,0.0361328125,4.1553544998168945,,,
,2,146,,,,,0.04340000078082085,0.04340000078082085,4.109604835510254
,3,149,,,0.0419921875,4.161349773406982,,,
,3,159,,,0.0224609375,4.128108024597168,,,
,3,169,,,0.0400390625,4.140037536621094,,,
,3,179,,,0.046875,4.129916191101074,,,
,3,189,,,0.0478515625,4.090381145477295,,,
,3,195,,,,,0.04879999905824661,0.04879999905824661,4.161726951599121
,4,199,,,0.0439453125,4.143187999725342,,,
,4,209,,,0.041015625,4.133880615234375,,,
,4,219,,,0.0498046875,4.104057788848877,,,
,4,229,,,0.0361328125,4.071678161621094,,,
,4,239,,,0.0458984375,4.051163673400879,,,
,4,244,,,,,0.05860000103712082,0.05860000103712082,3.9786884784698486
,5,249,,,0.056640625,4.012846946716309,,,
,5,259,,,0.0556640625,4.028443813323975,,,
,5,269,,,0.0673828125,3.963587760925293,,,
,5,279,,,0.0517578125,3.9755682945251465,,,
,5,289,,,0.0625,3.9923789501190186,,,
,5,293,,,,,0.06700000166893005,0.06700000166893005,3.9169864654541016
,6,299,,,0.072265625,3.9335989952087402,,,
,6,309,,,0.0693359375,3.9172165393829346,,,
,6,319,,,0.0625,3.9767560958862305,,,
,6,329,,,0.072265625,3.9298691749572754,,,
,6,339,,,0.0625,3.9688942432403564,,,
,6,342,,,,,0.07199999690055847,0.07199999690055847,3.868778705596924
,7,349,,,0.072265625,3.9237558841705322,,,
,7,359,,,0.05859375,3.9288277626037598,,,
,7,369,,,0.08203125,3.8666164875030518,,,
,7,379,,,0.083984375,3.8700616359710693,,,
,7,389,,,0.0771484375,3.867501974105835,,,
,7,391,,,,,0.07680000364780426,0.07680000364780426,3.8137779235839844
,8,399,,,0.0703125,3.8713278770446777,,,
,8,409,,,0.080078125,3.8856379985809326,,,
,8,419,,,0.08203125,3.931161403656006,,,
,8,429,,,0.099609375,3.802273750305176,,,
,8,439,,,0.0986328125,3.807152271270752,,,
,8,440,,,,,0.09380000084638596,0.09380000084638596,3.7328312397003174
,9,449,,,0.083984375,3.867469310760498,,,
,9,459,,,0.07421875,3.8548483848571777,,,
,9,469,,,0.0947265625,3.82783579826355,,,
,9,479,,,0.099609375,3.7846603393554688,,,
,9,489,,,0.08844339847564697,3.820868968963623,,,
,9,489,,,,,0.09380000084638596,0.08479999750852585,3.8552348613739014
,10,499,,,0.095703125,3.763303518295288,,,
,10,509,,,0.099609375,3.7901077270507812,,,
,10,519,,,0.09375,3.8344345092773438,,,
,10,529,,,0.09765625,3.718867540359497,,,
,10,538,,,,,0.09880000352859497,0.09880000352859497,3.809114933013916
,11,539,,,0.08203125,3.7888312339782715,,,
,11,549,,,0.08984375,3.799107789993286,,,
,11,559,,,0.12109375,3.7113308906555176,,,
,11,569,,,0.1044921875,3.7087900638580322,,,
,11,579,,,0.107421875,3.728358745574951,,,
,11,587,,,,,0.10599999874830246,0.10599999874830246,3.682961940765381
,12,589,,,0.0947265625,3.7285428047180176,,,
,12,599,,,0.0947265625,3.6992716789245605,,,
,12,609,,,0.1259765625,3.6941936016082764,,,
,12,619,,,0.0947265625,3.7224631309509277,,,
,12,629,,,0.0947265625,3.747331142425537,,,
,12,636,,,,,0.11699999868869781,0.11699999868869781,3.5416901111602783
,13,639,,,0.09765625,3.703019142150879,,,
,13,649,,,0.1083984375,3.671725034713745,,,
,13,659,,,0.1171875,3.6063969135284424,,,
,13,669,,,0.107421875,3.6311020851135254,,,
,13,679,,,0.1259765625,3.6828055381774902,,,
,13,685,,,,,0.12319999933242798,0.12319999933242798,3.532506227493286
,14,689,,,0.109375,3.6279373168945312,,,
,14,699,,,0.12109375,3.6085546016693115,,,
,14,709,,,0.107421875,3.633338689804077,,,
,14,719,,,0.1123046875,3.654165267944336,,,
,14,729,,,0.1357421875,3.5837154388427734,,,
,14,734,,,,,0.1316000074148178,0.1316000074148178,3.51664662361145
,15,739,,,0.12109375,3.6140425205230713,,,
,15,749,,,0.1044921875,3.6335268020629883,,,
,15,759,,,0.1416015625,3.52225661277771,,,
,15,769,,,0.1357421875,3.5112338066101074,,,
