epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.0107421875,4.540334224700928,,,
0,19,,,0.017578125,4.484613418579102,,,
0,29,,,0.0146484375,4.433146953582764,,,
0,39,,,0.025390625,4.3997650146484375,,,
0,48,,,,,0.023399999365210533,0.023399999365210533,4.3763747215271
1,49,,,0.0283203125,4.3547210693359375,,,
1,59,,,0.0244140625,4.339714050292969,,,
1,69,,,0.01953125,4.310532093048096,,,
1,79,,,0.0400390625,4.28530216217041,,,
1,89,,,0.0400390625,4.28981351852417,,,
1,97,,,,,0.033799998462200165,0.033799998462200165,4.229616641998291
2,99,,,0.03515625,4.2342119216918945,,,
2,109,,,0.0283203125,4.266891956329346,,,
2,119,,,0.03125,4.21204137802124,,,
2,129,,,0.044921875,4.271454811096191,,,
2,139,,,0.0361328125,4.23909854888916,,,
2,146,,,,,0.03840000182390213,0.03840000182390213,4.190518379211426
3,149,,,0.0576171875,4.173135757446289,,,
3,159,,,0.0234375,4.208957195281982,,,
3,169,,,0.0439453125,4.189968585968018,,,
3,179,,,0.0419921875,4.170083045959473,,,
3,189,,,0.0498046875,4.097507953643799,,,
3,195,,,,,0.052400000393390656,0.052400000393390656,4.0704264640808105
4,199,,,0.044921875,4.103990077972412,,,
4,209,,,0.0439453125,4.154516220092773,,,
4,219,,,0.0439453125,4.104273796081543,,,
4,229,,,0.0419921875,4.101301670074463,,,
4,239,,,0.05859375,4.0771660804748535,,,
4,244,,,,,0.061799999326467514,0.061799999326467514,3.9918880462646484
5,249,,,0.056640625,4.166161060333252,,,
5,259,,,0.0791015625,4.06280517578125,,,
5,269,,,0.0537109375,4.048559188842773,,,
5,279,,,0.064453125,4.003070831298828,,,
5,289,,,0.0615234375,4.045944690704346,,,
5,293,,,,,0.06520000100135803,0.06520000100135803,3.928722381591797
6,299,,,0.05859375,3.962531805038452,,,
6,309,,,0.0595703125,4.061254024505615,,,
6,319,,,0.06640625,3.9652702808380127,,,
6,329,,,0.076171875,3.9917526245117188,,,
6,339,,,0.07421875,3.930414915084839,,,
6,342,,,,,0.07800000160932541,0.07800000160932541,3.910527467727661
7,349,,,0.0712890625,3.9402644634246826,,,
7,359,,,0.064453125,3.9423818588256836,,,
7,369,,,0.0771484375,3.976654529571533,,,
7,379,,,0.078125,3.9191253185272217,,,
7,389,,,0.08984375,3.9112558364868164,,,
7,391,,,,,0.0820000022649765,0.0820000022649765,3.910635471343994
8,399,,,0.07421875,3.880920171737671,,,
8,409,,,0.076171875,3.895562171936035,,,
8,419,,,0.072265625,3.8856043815612793,,,
8,429,,,0.08984375,3.8548743724823,,,
8,439,,,0.0947265625,3.830049991607666,,,
8,440,,,,,0.08659999817609787,0.08659999817609787,3.805554151535034
9,449,,,0.095703125,3.8414504528045654,,,
9,459,,,0.0791015625,3.899332046508789,,,
9,469,,,0.083984375,3.8530936241149902,,,
9,479,,,0.0830078125,3.8868796825408936,,,
9,489,,,0.11320754885673523,3.813086748123169,,,
9,489,,,,,0.10279999673366547,0.10279999673366547,3.6886279582977295
10,499,,,0.09765625,3.8243730068206787,,,
10,509,,,0.0810546875,3.946514844894409,,,
10,519,,,0.083984375,3.8140690326690674,,,
10,529,,,0.1015625,3.896987199783325,,,
10,538,,,,,0.10279999673366547,0.09640000015497208,3.7716898918151855
11,539,,,0.1015625,3.8250558376312256,,,
11,549,,,0.0732421875,3.8306326866149902,,,
11,559,,,0.107421875,3.8498237133026123,,,
11,569,,,0.099609375,3.7888803482055664,,,
11,579,,,0.09375,3.8281137943267822,,,
11,587,,,,,0.11559999734163284,0.11559999734163284,3.6682095527648926
12,589,,,0.0966796875,3.7617318630218506,,,
12,599,,,0.119140625,3.6870553493499756,,,
12,609,,,0.1083984375,3.7280707359313965,,,
12,619,,,0.1162109375,3.7217276096343994,,,
12,629,,,0.1103515625,3.7549586296081543,,,
12,636,,,,,0.11640000343322754,0.11640000343322754,3.6195645332336426
13,639,,,0.1123046875,3.703249454498291,,,
13,649,,,0.0908203125,3.732192277908325,,,
13,659,,,0.1064453125,3.7447407245635986,,,
13,669,,,0.1064453125,3.684894323348999,,,
13,679,,,0.1201171875,3.721717596054077,,,
13,685,,,,,0.11640000343322754,0.1136000007390976,3.811749219894409
14,689,,,0.1181640625,3.6548821926116943,,,
14,699,,,0.095703125,3.7103185653686523,,,
14,709,,,0.107421875,3.7130939960479736,,,
14,719,,,0.1015625,3.6981759071350098,,,
14,729,,,0.1201171875,3.703246831893921,,,
14,734,,,,,0.11800000071525574,0.11800000071525574,3.737051486968994
15,739,,,0.123046875,3.6767032146453857,,,
15,749,,,0.1162109375,3.6492786407470703,,,
15,759,,,0.11328125,3.621772050857544,,,
15,769,,,0.111328125,3.671931028366089,,,
15,779,,,0.1171875,3.6721532344818115,,,
15,783,,,,,0.12860000133514404,0.12860000133514404,3.5168213844299316
16,789,,,0.119140625,3.6752119064331055,,,
16,799,,,0.130859375,3.6151299476623535,,,
16,809,,,0.12109375,3.6532750129699707,,,
16,819,,,0.12890625,3.5956838130950928,,,
16,829,,,0.1220703125,3.53653883934021,,,
16,832,,,,,0.1379999965429306,0.1379999965429306,3.4923510551452637
17,839,,,0.12890625,3.4993174076080322,,,
17,849,,,0.1279296875,3.642380952835083,,,
17,859,,,0.11328125,3.6531505584716797,,,
17,869,,,0.12890625,3.5505194664001465,,,
17,879,,,0.12890625,3.5019569396972656,,,
17,881,,,,,0.1379999965429306,0.13179999589920044,3.633427858352661
18,889,,,0.140625,3.518761396408081,,,
18,899,,,0.154296875,3.536811113357544,,,
18,909,,,0.138671875,3.557016611099243,,,
18,919,,,0.138671875,3.5431079864501953,,,
18,929,,,0.1416015625,3.542989492416382,,,
18,930,,,,,0.14319999516010284,0.14319999516010284,3.52789306640625
19,939,,,0.1435546875,3.490800142288208,,,
19,949,,,0.1328125,3.496864080429077,,,
19,959,,,0.1494140625,3.4982073307037354,,,
19,969,,,0.173828125,3.4830291271209717,,,
19,979,,,0.1379716992378235,3.5795533657073975,,,
19,979,,,,,0.1501999944448471,0.1501999944448471,3.50152850151062
20,989,,,0.1474609375,3.459467649459839,,,
20,999,,,0.1552734375,3.476372718811035,,,
20,1009,,,0.1494140625,3.4932632446289062,,,
20,1019,,,0.17578125,3.4505040645599365,,,
20,1028,,,,,0.16539999842643738,0.16539999842643738,3.387868881225586
21,1029,,,0.16015625,3.375722646713257,,,
21,1039,,,0.1416015625,3.479545831680298,,,
21,1049,,,0.15234375,3.5228939056396484,,,
21,1059,,,0.162109375,3.4257311820983887,,,
21,1069,,,0.146484375,3.523261308670044,,,
21,1077,,,,,0.17520000040531158,0.17520000040531158,3.2699687480926514
22,1079,,,0.1357421875,3.4845993518829346,,,
22,1089,,,0.1796875,3.368159294128418,,,
22,1099,,,0.1767578125,3.3910884857177734,,,
22,1109,,,0.1455078125,3.3925249576568604,,,
22,1119,,,0.181640625,3.3879644870758057,,,
22,1126,,,,,0.1754000037908554,0.1754000037908554,3.3278210163116455
23,1129,,,0.1650390625,3.419886589050293,,,
23,1139,,,0.1708984375,3.438999652862549,,,
23,1149,,,0.158203125,3.466042995452881,,,
23,1159,,,0.17578125,3.3757307529449463,,,
23,1169,,,0.1845703125,3.3030502796173096,,,
23,1175,,,,,0.18240000307559967,0.18240000307559967,3.1864376068115234
24,1179,,,0.181640625,3.35125732421875,,,
24,1189,,,0.1728515625,3.3426144123077393,,,
24,1199,,,0.1533203125,3.3754913806915283,,,
24,1209,,,0.154296875,3.4257729053497314,,,
24,1219,,,0.177734375,3.2734375,,,
24,1224,,,,,0.19419999420642853,0.19419999420642853,3.183342456817627
25,1229,,,0.1591796875,3.3629817962646484,,,
25,1239,,,0.1962890625,3.2848010063171387,,,
25,1249,,,0.1748046875,3.3066000938415527,,,
25,1259,,,0.18359375,3.3399789333343506,,,
25,1269,,,0.1728515625,3.3340413570404053,,,
25,1273,,,,,0.21359999477863312,0.21359999477863312,3.069524049758911
26,1279,,,0.1904296875,3.2458600997924805,,,
26,1289,,,0.169921875,3.3365838527679443,,,
26,1299,,,0.1845703125,3.245281219482422,,,
26,1309,,,0.17578125,3.3299641609191895,,,
26,1319,,,0.166015625,3.3373162746429443,,,
26,1322,,,,,0.21359999477863312,0.2093999981880188,3.1652050018310547
27,1329,,,0.173828125,3.2980494499206543,,,
27,1339,,,0.189453125,3.227435350418091,,,
27,1349,,,0.185546875,3.2935385704040527,,,
27,1359,,,0.1865234375,3.2477712631225586,,,
27,1369,,,0.173828125,3.2961485385894775,,,
27,1371,,,,,0.21359999477863312,0.19979999959468842,3.2341721057891846
28,1379,,,0.193359375,3.2816150188446045,,,
28,1389,,,0.2001953125,3.269737720489502,,,
28,1399,,,0.19921875,3.250173807144165,,,
28,1409,,,0.2041015625,3.2675559520721436,,,
28,1419,,,0.2001953125,3.2320613861083984,,,
28,1420,,,,,0.21879999339580536,0.21879999339580536,3.0832698345184326
29,1429,,,0.185546875,3.2660293579101562,,,
29,1439,,,0.205078125,3.1660287380218506,,,
29,1449,,,0.20703125,3.238354444503784,,,
29,1459,,,0.1953125,3.2180356979370117,,,
29,1469,,,0.1945754736661911,3.224358320236206,,,
29,1469,,,,,0.2529999911785126,0.2529999911785126,2.877169132232666
30,1479,,,0.224609375,3.16459584236145,,,
30,1489,,,0.185546875,3.230332851409912,,,
30,1499,,,0.2109375,3.176295280456543,,,
30,1509,,,0.2314453125,3.1389546394348145,,,
30,1518,,,,,0.2529999911785126,0.23000000417232513,3.1537392139434814
