epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.01953125,4.488278388977051,,,
0,19,,,0.0166015625,4.443045139312744,,,
0,29,,,0.029296875,4.344121932983398,,,
0,39,,,0.02734375,4.310808181762695,,,
0,48,,,,,0.03020000085234642,0.03020000085234642,4.328678131103516
1,49,,,0.029296875,4.259342193603516,,,
1,59,,,0.0341796875,4.270666122436523,,,
1,69,,,0.0380859375,4.245194435119629,,,
1,79,,,0.052734375,4.183070659637451,,,
1,89,,,0.064453125,4.11031436920166,,,
1,97,,,,,0.066600002348423,0.066600002348423,4.007054805755615
2,99,,,0.0673828125,4.059261798858643,,,
2,109,,,0.037109375,4.081599235534668,,,
2,119,,,0.0478515625,4.0470685958862305,,,
2,129,,,0.0556640625,4.062326431274414,,,
2,139,,,0.06640625,4.086385726928711,,,
2,146,,,,,0.0722000002861023,0.0722000002861023,3.896505355834961
3,149,,,0.0830078125,3.935713768005371,,,
3,159,,,0.0634765625,4.032467365264893,,,
3,169,,,0.0576171875,4.009693145751953,,,
3,179,,,0.07421875,3.8958663940429688,,,
3,189,,,0.0771484375,3.9807753562927246,,,
3,195,,,,,0.09480000287294388,0.09480000287294388,3.809027910232544
4,199,,,0.083984375,3.9147186279296875,,,
4,209,,,0.07421875,3.9766323566436768,,,
4,219,,,0.0859375,3.8978066444396973,,,
4,229,,,0.0859375,3.85036563873291,,,
4,239,,,0.076171875,3.9587883949279785,,,
4,244,,,,,0.09480000287294388,0.09440000355243683,3.8229377269744873
5,249,,,0.091796875,3.8307464122772217,,,
5,259,,,0.0771484375,3.845341444015503,,,
5,269,,,0.0927734375,3.8084723949432373,,,
5,279,,,0.09375,3.830213785171509,,,
5,289,,,0.1044921875,3.8323373794555664,,,
5,293,,,,,0.10859999805688858,0.10859999805688858,3.6911377906799316
6,299,,,0.099609375,3.7743759155273438,,,
6,309,,,0.109375,3.762582302093506,,,
6,319,,,0.111328125,3.7867014408111572,,,
6,329,,,0.095703125,3.7133431434631348,,,
6,339,,,0.1162109375,3.6845853328704834,,,
6,342,,,,,0.1088000014424324,0.1088000014424324,3.7301597595214844
7,349,,,0.107421875,3.760892629623413,,,
7,359,,,0.130859375,3.701098918914795,,,
7,369,,,0.1142578125,3.641847610473633,,,
7,379,,,0.1220703125,3.6731553077697754,,,
7,389,,,0.125,3.643221378326416,,,
7,391,,,,,0.14239999651908875,0.14239999651908875,3.5064640045166016
8,399,,,0.1279296875,3.6352646350860596,,,
8,409,,,0.125,3.5690643787384033,,,
8,419,,,0.126953125,3.563213586807251,,,
8,429,,,0.1513671875,3.65299654006958,,,
8,439,,,0.1630859375,3.579106092453003,,,
8,440,,,,,0.14239999651908875,0.1420000046491623,3.5414414405822754
9,449,,,0.1181640625,3.639826536178589,,,
9,459,,,0.16015625,3.507855176925659,,,
9,469,,,0.1357421875,3.467633008956909,,,
9,479,,,0.1220703125,3.6132373809814453,,,
9,489,,,0.1533018797636032,3.521155595779419,,,
9,489,,,,,0.16300000250339508,0.16300000250339508,3.4504504203796387
10,499,,,0.1474609375,3.531179428100586,,,
10,509,,,0.1689453125,3.469606637954712,,,
10,519,,,0.1533203125,3.5019922256469727,,,
10,529,,,0.14453125,3.486375331878662,,,
10,538,,,,,0.16519999504089355,0.16519999504089355,3.3905205726623535
11,539,,,0.158203125,3.452944278717041,,,
11,549,,,0.1572265625,3.402498960494995,,,
11,559,,,0.1708984375,3.3950648307800293,,,
11,569,,,0.1474609375,3.4720473289489746,,,
11,579,,,0.1669921875,3.4473628997802734,,,
11,587,,,,,0.18000000715255737,0.18000000715255737,3.335263729095459
12,589,,,0.177734375,3.4147753715515137,,,
12,599,,,0.1865234375,3.334603786468506,,,
12,609,,,0.1884765625,3.3175601959228516,,,
12,619,,,0.1904296875,3.3167545795440674,,,
12,629,,,0.169921875,3.3902978897094727,,,
12,636,,,,,0.2215999960899353,0.2215999960899353,3.0631000995635986
13,639,,,0.1904296875,3.28198504447937,,,
13,649,,,0.1953125,3.2610650062561035,,,
13,659,,,0.1884765625,3.318789482116699,,,
13,669,,,0.1982421875,3.262258529663086,,,
13,679,,,0.2001953125,3.2467966079711914,,,
13,685,,,,,0.2215999960899353,0.22120000422000885,3.096282958984375
14,689,,,0.185546875,3.2529265880584717,,,
14,699,,,0.21484375,3.226707935333252,,,
14,709,,,0.1875,3.2925071716308594,,,
14,719,,,0.2265625,3.2219948768615723,,,
14,729,,,0.1865234375,3.2062935829162598,,,
14,734,,,,,0.23680000007152557,0.23680000007152557,2.9551188945770264
15,739,,,0.2060546875,3.2020835876464844,,,
15,749,,,0.2041015625,3.2371761798858643,,,
15,759,,,0.2119140625,3.1177778244018555,,,
15,769,,,0.2099609375,3.1906650066375732,,,
15,779,,,0.2265625,3.1960201263427734,,,
15,783,,,,,0.23720000684261322,0.23720000684261322,3.0237698554992676
16,789,,,0.21484375,3.159101724624634,,,
16,799,,,0.220703125,3.1663742065429688,,,
16,809,,,0.2314453125,3.1342790126800537,,,
16,819,,,0.216796875,3.085437059402466,,,
16,829,,,0.224609375,3.1624276638031006,,,
16,832,,,,,0.2563999891281128,0.2563999891281128,2.932739019393921
17,839,,,0.2470703125,3.043301582336426,,,
17,849,,,0.212890625,3.1360549926757812,,,
17,859,,,0.240234375,3.062182664871216,,,
17,869,,,0.25,3.0067317485809326,,,
17,879,,,0.20703125,3.156710386276245,,,
17,881,,,,,0.27000001072883606,0.27000001072883606,2.8444018363952637
18,889,,,0.25,3.0121660232543945,,,
18,899,,,0.205078125,3.1343297958374023,,,
18,909,,,0.259765625,3.0411453247070312,,,
18,919,,,0.236328125,3.105236530303955,,,
18,929,,,0.2158203125,3.095698356628418,,,
18,930,,,,,0.27000001072883606,0.23999999463558197,3.1518092155456543
19,939,,,0.2646484375,2.9049148559570312,,,
19,949,,,0.2470703125,3.050497531890869,,,
19,959,,,0.232421875,3.085561752319336,,,
19,969,,,0.2548828125,2.9988889694213867,,,
19,979,,,0.24882075190544128,3.0193417072296143,,,
19,979,,,,,0.2831999957561493,0.2831999957561493,2.8153421878814697
20,989,,,0.26171875,2.960421085357666,,,
20,999,,,0.2724609375,2.8995912075042725,,,
20,1009,,,0.232421875,3.083927631378174,,,
20,1019,,,0.2548828125,2.997720241546631,,,
20,1028,,,,,0.31220000982284546,0.31220000982284546,2.6844735145568848
21,1029,,,0.26953125,2.8903238773345947,,,
21,1039,,,0.2548828125,2.937455892562866,,,
21,1049,,,0.2841796875,2.899425506591797,,,
21,1059,,,0.2509765625,2.98753023147583,,,
21,1069,,,0.2412109375,3.0274713039398193,,,
21,1077,,,,,0.31220000982284546,0.29679998755455017,2.7654926776885986
22,1079,,,0.28515625,2.8503429889678955,,,
22,1089,,,0.2705078125,2.8276054859161377,,,
22,1099,,,0.26953125,2.973541021347046,,,
22,1109,,,0.2734375,2.8793606758117676,,,
22,1119,,,0.2626953125,2.9051778316497803,,,
22,1126,,,,,0.3434000015258789,0.3434000015258789,2.478858232498169
23,1129,,,0.23828125,2.9306368827819824,,,
23,1139,,,0.267578125,2.8755249977111816,,,
23,1149,,,0.2705078125,2.857113838195801,,,
23,1159,,,0.2724609375,2.974226951599121,,,
23,1169,,,0.28515625,2.788769483566284,,,
23,1175,,,,,0.3492000102996826,0.3492000102996826,2.459651231765747
24,1179,,,0.28515625,2.866196393966675,,,
24,1189,,,0.28515625,2.86476469039917,,,
24,1199,,,0.2900390625,2.8370251655578613,,,
24,1209,,,0.2861328125,2.8370542526245117,,,
24,1219,,,0.28515625,2.8602843284606934,,,
24,1224,,,,,0.3492000102996826,0.33719998598098755,2.5368752479553223
25,1229,,,0.3056640625,2.811385154724121,,,
