RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.029296875,4.450809001922607,,,
,0,19,,,0.0380859375,4.292239665985107,,,
,0,29,,,0.0458984375,4.270645618438721,,,
,0,39,,,0.0517578125,4.1592583656311035,,,
,0,48,,,,,0.04479999840259552,0.04479999840259552,4.2486186027526855
,1,49,,,0.0634765625,4.126106262207031,,,
,1,59,,,0.0419921875,4.14033317565918,,,
,1,69,,,0.0634765625,4.069671154022217,,,
,1,79,,,0.064453125,3.9861602783203125,,,
,1,89,,,0.07421875,4.121169567108154,,,
,1,97,,,,,0.07819999754428864,0.07819999754428864,3.952974796295166
,2,99,,,0.0791015625,3.970487594604492,,,
,2,109,,,0.076171875,4.011637210845947,,,
,2,119,,,0.0771484375,3.94134783744812,,,
,2,129,,,0.099609375,3.9093053340911865,,,
,2,139,,,0.078125,3.9251902103424072,,,
,2,146,,,,,0.09040000289678574,0.09040000289678574,3.8446133136749268
,3,149,,,0.0908203125,3.911609411239624,,,
,3,159,,,0.0771484375,3.9091479778289795,,,
,3,169,,,0.0927734375,3.8420400619506836,,,
,3,179,,,0.0986328125,3.8267178535461426,,,
,3,189,,,0.1025390625,3.8102877140045166,,,
,3,195,,,,,0.09520000219345093,0.09520000219345093,3.749332904815674
,4,199,,,0.091796875,3.8244788646698,,,
,4,209,,,0.0927734375,3.901155471801758,,,
,4,219,,,0.111328125,3.760913610458374,,,
,4,229,,,0.0966796875,3.815725564956665,,,
,4,239,,,0.103515625,3.809600830078125,,,
,4,244,,,,,0.10939999669790268,0.10939999669790268,3.669919490814209
,5,249,,,0.1171875,3.701373338699341,,,
,5,259,,,0.1103515625,3.7986538410186768,,,
,5,269,,,0.1181640625,3.6711037158966064,,,
,5,279,,,0.115234375,3.702378511428833,,,
,5,289,,,0.099609375,3.733736753463745,,,
,5,293,,,,,0.12160000205039978,0.12160000205039978,3.579519748687744
,6,299,,,0.1123046875,3.6993541717529297,,,
,6,309,,,0.1181640625,3.75295090675354,,,
,6,319,,,0.1240234375,3.670339584350586,,,
,6,329,,,0.1318359375,3.5831737518310547,,,
,6,339,,,0.1220703125,3.7169177532196045,,,
,6,342,,,,,0.14419999718666077,0.14419999718666077,3.4894161224365234
,7,349,,,0.1376953125,3.597167730331421,,,
,7,359,,,0.1298828125,3.6463165283203125,,,
,7,369,,,0.12890625,3.6176981925964355,,,
,7,379,,,0.1328125,3.5652341842651367,,,
,7,389,,,0.1337890625,3.5540151596069336,,,
,7,391,,,,,0.14419999718666077,0.13819999992847443,3.623533248901367
,8,399,,,0.134765625,3.579569101333618,,,
,8,409,,,0.1328125,3.6060709953308105,,,
,8,419,,,0.1357421875,3.544118881225586,,,
,8,429,,,0.134765625,3.534010171890259,,,
,8,439,,,0.1484375,3.5071372985839844,,,
,8,440,,,,,0.14419999718666077,0.1404000073671341,3.589613437652588
,9,449,,,0.138671875,3.519390821456909,,,
,9,459,,,0.1513671875,3.5032787322998047,,,
,9,469,,,0.1396484375,3.5372416973114014,,,
,9,479,,,0.1513671875,3.4932937622070312,,,
,9,489,,,0.15094339847564697,3.4473865032196045,,,
,9,489,,,,,0.14820000529289246,0.14820000529289246,3.443544864654541
,10,499,,,0.1640625,3.4927008152008057,,,
,10,509,,,0.1630859375,3.4964308738708496,,,
,10,519,,,0.171875,3.452960968017578,,,
,10,529,,,0.171875,3.425419330596924,,,
,10,538,,,,,0.1712000072002411,0.1712000072002411,3.376006603240967
,11,539,,,0.171875,3.340831756591797,,,
,11,549,,,0.166015625,3.4222660064697266,,,
,11,559,,,0.2021484375,3.3928370475769043,,,
,11,569,,,0.158203125,3.441397190093994,,,
,11,579,,,0.1630859375,3.3845372200012207,,,
,11,587,,,,,0.21199999749660492,0.21199999749660492,3.141469717025757
,12,589,,,0.1962890625,3.297715663909912,,,
,12,599,,,0.205078125,3.3048229217529297,,,
,12,609,,,0.166015625,3.4672906398773193,,,
,12,619,,,0.203125,3.348299264907837,,,
,12,629,,,0.1787109375,3.365112543106079,,,
,12,636,,,,,0.21199999749660492,0.1889999955892563,3.377642869949341
,13,639,,,0.2080078125,3.1969447135925293,,,
,13,649,,,0.18359375,3.3253066539764404,,,
,13,659,,,0.1884765625,3.2515668869018555,,,
,13,669,,,0.1884765625,3.3020737171173096,,,
,13,679,,,0.1787109375,3.249037265777588,,,
,13,685,,,,,0.21199999749660492,0.20720000565052032,3.2334485054016113
,14,689,,,0.18359375,3.291957139968872,,,
,14,699,,,0.1826171875,3.278439998626709,,,
,14,709,,,0.1806640625,3.3662900924682617,,,
,14,719,,,0.2216796875,3.1647706031799316,,,
,14,729,,,0.2021484375,3.15490460395813,,,
,14,734,,,,,0.23800000548362732,0.23800000548362732,3.031625986099243
,15,739,,,0.2177734375,3.1373698711395264,,,
,15,749,,,0.2021484375,3.1427175998687744,,,
,15,759,,,0.203125,3.1957671642303467,,,
,15,769,,,0.22265625,3.165208578109741,,,
,15,779,,,0.2392578125,3.052656888961792,,,
