epoch,step,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,0.025390625,4.521195411682129,,,
0,19,0.015625,4.491734027862549,,,
0,29,0.0185546875,4.445753574371338,,,
0,39,0.017578125,4.395046710968018,,,
0,48,,,0.020600000396370888,0.020600000396370888,4.361163139343262
1,49,0.0224609375,4.322812557220459,,,
1,59,0.0234375,4.370107173919678,,,
1,69,0.0283203125,4.316346645355225,,,
1,79,0.0263671875,4.314394474029541,,,
1,89,0.02734375,4.2431464195251465,,,
1,97,,,0.03220000118017197,0.03220000118017197,4.214793682098389
