epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.037109375,4.381916522979736,,,
0,19,,,0.044921875,4.2413330078125,,,
0,29,,,0.068359375,4.109881401062012,,,
0,39,,,0.0810546875,4.04948091506958,,,
0,48,,,,,0.06639999896287918,0.06639999896287918,4.161879062652588
1,49,,,0.083984375,3.9528634548187256,,,
1,59,,,0.087890625,3.978118658065796,,,
1,69,,,0.1005859375,3.8676846027374268,,,
1,79,,,0.0732421875,3.8939287662506104,,,
1,89,,,0.099609375,3.860600233078003,,,
1,97,,,,,0.10999999940395355,0.10999999940395355,3.7504067420959473
2,99,,,0.08984375,3.8460683822631836,,,
2,109,,,0.11328125,3.7623162269592285,,,
2,119,,,0.109375,3.765573501586914,,,
2,129,,,0.1259765625,3.7422449588775635,,,
2,139,,,0.115234375,3.6992270946502686,,,
2,146,,,,,0.13979999721050262,0.13979999721050262,3.533592700958252
3,149,,,0.1357421875,3.6605305671691895,,,
3,159,,,0.1318359375,3.6575136184692383,,,
3,169,,,0.1328125,3.631330966949463,,,
3,179,,,0.123046875,3.61970591545105,,,
3,189,,,0.14453125,3.622410774230957,,,
3,195,,,,,0.14219999313354492,0.14219999313354492,3.5335822105407715
4,199,,,0.1318359375,3.5754852294921875,,,
4,209,,,0.1552734375,3.5292744636535645,,,
4,219,,,0.1435546875,3.488121509552002,,,
4,229,,,0.1279296875,3.59031343460083,,,
4,239,,,0.1826171875,3.489663600921631,,,
4,244,,,,,0.1736000031232834,0.1736000031232834,3.393700122833252
5,249,,,0.1484375,3.508674144744873,,,
5,259,,,0.1708984375,3.430137872695923,,,
5,269,,,0.1748046875,3.389132261276245,,,
5,279,,,0.1728515625,3.450169563293457,,,
5,289,,,0.1728515625,3.45674204826355,,,
5,293,,,,,0.188400000333786,0.188400000333786,3.267454147338867
6,299,,,0.1748046875,3.383700370788574,,,
6,309,,,0.171875,3.398455858230591,,,
6,319,,,0.1748046875,3.39434814453125,,,
6,329,,,0.1484375,3.4518096446990967,,,
6,339,,,0.1787109375,3.3852975368499756,,,
6,342,,,,,0.19220000505447388,0.19220000505447388,3.2666473388671875
7,349,,,0.1806640625,3.3320462703704834,,,
7,359,,,0.1962890625,3.317941904067993,,,
7,369,,,0.21484375,3.2325758934020996,,,
7,379,,,0.1923828125,3.353245258331299,,,
7,389,,,0.197265625,3.2607531547546387,,,
7,391,,,,,0.21199999749660492,0.21199999749660492,3.142442226409912
8,399,,,0.1943359375,3.268845319747925,,,
8,409,,,0.208984375,3.171351432800293,,,
8,419,,,0.220703125,3.209383487701416,,,
8,429,,,0.228515625,3.168421506881714,,,
8,439,,,0.203125,3.209474563598633,,,
8,440,,,,,0.21199999749660492,0.19439999759197235,3.325070858001709
9,449,,,0.2314453125,3.137305974960327,,,
9,459,,,0.197265625,3.259310483932495,,,
9,469,,,0.22265625,3.14847993850708,,,
9,479,,,0.228515625,3.159884452819824,,,
