epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.01953125,4.520571231842041,,,
0,19,,,0.0244140625,4.41947603225708,,,
0,29,,,0.0390625,4.305243015289307,,,
0,39,,,0.041015625,4.272426605224609,,,
0,48,,,,,0.03220000118017197,0.03220000118017197,4.338517189025879
1,49,,,0.0400390625,4.2498955726623535,,,
1,59,,,0.0361328125,4.184804916381836,,,
1,69,,,0.0498046875,4.1470232009887695,,,
1,79,,,0.05078125,4.097312927246094,,,
1,89,,,0.07421875,4.0282673835754395,,,
1,97,,,,,0.062199998646974564,0.062199998646974564,3.992910861968994
2,99,,,0.064453125,4.034070014953613,,,
2,109,,,0.0732421875,4.00739049911499,,,
2,119,,,0.0693359375,3.9607808589935303,,,
2,129,,,0.0791015625,4.005784034729004,,,
2,139,,,0.0849609375,3.976139545440674,,,
2,146,,,,,0.08380000293254852,0.08380000293254852,3.9283454418182373
3,149,,,0.08203125,3.942307472229004,,,
3,159,,,0.0732421875,3.9196245670318604,,,
3,169,,,0.0703125,3.9784324169158936,,,
3,179,,,0.0888671875,3.8287200927734375,,,
3,189,,,0.09375,3.9312751293182373,,,
3,195,,,,,0.08900000154972076,0.08900000154972076,3.8347911834716797
4,199,,,0.0986328125,3.8835484981536865,,,
4,209,,,0.0908203125,3.88053297996521,,,
4,219,,,0.103515625,3.8192226886749268,,,
4,229,,,0.0966796875,3.825948715209961,,,
4,239,,,0.0849609375,3.826061487197876,,,
4,244,,,,,0.10999999940395355,0.10999999940395355,3.700058698654175
5,249,,,0.111328125,3.8105626106262207,,,
5,259,,,0.1083984375,3.8115100860595703,,,
5,269,,,0.1142578125,3.817614793777466,,,
5,279,,,0.10546875,3.7312614917755127,,,
5,289,,,0.1162109375,3.728973865509033,,,
5,293,,,,,0.1454000025987625,0.1454000025987625,3.565478801727295
6,299,,,0.146484375,3.624234676361084,,,
6,309,,,0.1171875,3.6832449436187744,,,
6,319,,,0.1240234375,3.730070114135742,,,
6,329,,,0.1162109375,3.686302900314331,,,
6,339,,,0.12109375,3.6993114948272705,,,
6,342,,,,,0.1454000025987625,0.13439999520778656,3.549107789993286
7,349,,,0.1220703125,3.6692452430725098,,,
7,359,,,0.1376953125,3.5897061824798584,,,
7,369,,,0.1298828125,3.6039743423461914,,,
7,379,,,0.140625,3.5839643478393555,,,
7,389,,,0.1279296875,3.6750526428222656,,,
7,391,,,,,0.14640000462532043,0.14640000462532043,3.5201575756073
8,399,,,0.1376953125,3.6040101051330566,,,
8,409,,,0.13671875,3.574343681335449,,,
8,419,,,0.1328125,3.559539318084717,,,
8,429,,,0.150390625,3.5230658054351807,,,
8,439,,,0.138671875,3.560866117477417,,,
8,440,,,,,0.16179999709129333,0.16179999709129333,3.4415907859802246
9,449,,,0.154296875,3.614089012145996,,,
9,459,,,0.1552734375,3.525334596633911,,,
9,469,,,0.150390625,3.5124828815460205,,,
9,479,,,0.158203125,3.490675687789917,,,
9,489,,,0.14740565419197083,3.4943315982818604,,,
