RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.0380859375,4.326886177062988,,,
,0,19,,,0.056640625,4.174706935882568,,,
,0,29,,,0.078125,4.036691665649414,,,
,0,39,,,0.0947265625,3.8934199810028076,,,
,0,48,,,,,0.08699999749660492,0.08699999749660492,3.906477451324463
,1,49,,,0.103515625,3.8639466762542725,,,
,1,59,,,0.0947265625,3.8846449851989746,,,
,1,69,,,0.09765625,3.7494657039642334,,,
,1,79,,,0.123046875,3.734337568283081,,,
,1,89,,,0.09765625,3.8090245723724365,,,
,1,97,,,,,0.1454000025987625,0.1454000025987625,3.5429699420928955
,2,99,,,0.1259765625,3.688687801361084,,,
,2,109,,,0.1416015625,3.6941099166870117,,,
,2,119,,,0.1376953125,3.5811121463775635,,,
,2,129,,,0.1259765625,3.625840663909912,,,
,2,139,,,0.146484375,3.5723025798797607,,,
,2,146,,,,,0.17980000376701355,0.17980000376701355,3.35663104057312
,3,149,,,0.15234375,3.5939669609069824,,,
,3,159,,,0.14453125,3.578556537628174,,,
,3,169,,,0.17578125,3.5007503032684326,,,
,3,179,,,0.158203125,3.491112470626831,,,
,3,189,,,0.158203125,3.498898983001709,,,
,3,195,,,,,0.18780000507831573,0.18780000507831573,3.3162074089050293
,4,199,,,0.181640625,3.3373489379882812,,,
,4,209,,,0.1875,3.32596492767334,,,
,4,219,,,0.1953125,3.3617758750915527,,,
,4,229,,,0.1767578125,3.4417524337768555,,,
,4,239,,,0.197265625,3.3698418140411377,,,
,4,244,,,,,0.18780000507831573,0.17800000309944153,3.430201768875122
,5,249,,,0.203125,3.273341417312622,,,
,5,259,,,0.171875,3.423502206802368,,,
,5,269,,,0.2021484375,3.3078696727752686,,,
,5,279,,,0.208984375,3.2803683280944824,,,
,5,289,,,0.197265625,3.333101987838745,,,
,5,293,,,,,0.21879999339580536,0.21879999339580536,3.2189502716064453
,6,299,,,0.20703125,3.1953046321868896,,,
,6,309,,,0.2177734375,3.220855712890625,,,
