RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.0283203125,4.422735214233398,,,
,0,19,,,0.03515625,4.194892883300781,,,
,0,29,,,0.0625,4.143918991088867,,,
,0,39,,,0.0625,4.130578517913818,,,
,0,48,,,,,0.06960000097751617,0.06960000097751617,4.038943767547607
,1,49,,,0.0673828125,4.042771816253662,,,
,1,59,,,0.0625,4.045559406280518,,,
,1,69,,,0.080078125,3.9596455097198486,,,
,1,79,,,0.0888671875,3.9229955673217773,,,
,1,89,,,0.0810546875,3.937790870666504,,,
,1,97,,,,,0.09000000357627869,0.09000000357627869,3.8353004455566406
,2,99,,,0.09375,3.848522663116455,,,
,2,109,,,0.1044921875,3.8736226558685303,,,
,2,119,,,0.0859375,3.912482261657715,,,
,2,129,,,0.1025390625,3.8229267597198486,,,
,2,139,,,0.099609375,3.840209722518921,,,
,2,146,,,,,0.11779999732971191,0.11779999732971191,3.6806998252868652
,3,149,,,0.1201171875,3.7579712867736816,,,
,3,159,,,0.123046875,3.66424560546875,,,
,3,169,,,0.115234375,3.7002041339874268,,,
,3,179,,,0.109375,3.7594051361083984,,,
,3,189,,,0.1318359375,3.6967239379882812,,,
,3,195,,,,,0.11840000003576279,0.11840000003576279,3.6677920818328857
,4,199,,,0.12109375,3.6201601028442383,,,
,4,209,,,0.107421875,3.758835554122925,,,
,4,219,,,0.1201171875,3.674592971801758,,,
,4,229,,,0.1279296875,3.6436946392059326,,,
,4,239,,,0.1240234375,3.6096203327178955,,,
,4,244,,,,,0.15440000593662262,0.15440000593662262,3.451775312423706
,5,249,,,0.140625,3.6620676517486572,,,
,5,259,,,0.1640625,3.547821283340454,,,
,5,269,,,0.130859375,3.542109966278076,,,
,5,279,,,0.12109375,3.608973741531372,,,
,5,289,,,0.1455078125,3.5413928031921387,,,
,5,293,,,,,0.15440000593662262,0.14800000190734863,3.518836259841919
,6,299,,,0.146484375,3.574294328689575,,,
,6,309,,,0.1376953125,3.4693210124969482,,,
,6,319,,,0.1513671875,3.5418882369995117,,,
