epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.033203125,4.473466396331787,,,
0,19,,,0.0322265625,4.309937477111816,,,
0,29,,,0.0517578125,4.229132652282715,,,
0,39,,,0.0439453125,4.222639560699463,,,
0,48,,,,,0.04360000044107437,0.04360000044107437,4.340969085693359
1,49,,,0.060546875,4.112030982971191,,,
1,59,,,0.0537109375,4.100201606750488,,,
1,69,,,0.05859375,4.082891941070557,,,
1,79,,,0.0556640625,4.101068496704102,,,
1,89,,,0.07421875,4.050058841705322,,,
1,97,,,,,0.07479999959468842,0.07479999959468842,3.9852447509765625
2,99,,,0.087890625,3.974499464035034,,,
2,109,,,0.068359375,3.996006727218628,,,
2,119,,,0.0830078125,4.006847858428955,,,
2,129,,,0.080078125,3.956717014312744,,,
2,139,,,0.0771484375,3.970595598220825,,,
2,146,,,,,0.08579999953508377,0.08579999953508377,3.9067635536193848
3,149,,,0.09375,3.8685872554779053,,,
3,159,,,0.0986328125,3.9205658435821533,,,
3,169,,,0.0791015625,3.9092371463775635,,,
3,179,,,0.09765625,3.8742263317108154,,,
3,189,,,0.0947265625,3.8278956413269043,,,
3,195,,,,,0.09780000150203705,0.09780000150203705,3.843820095062256
4,199,,,0.091796875,3.8680343627929688,,,
4,209,,,0.087890625,3.8654415607452393,,,
4,219,,,0.1103515625,3.7344970703125,,,
4,229,,,0.1162109375,3.7066454887390137,,,
4,239,,,0.11328125,3.752826690673828,,,
4,244,,,,,0.11240000277757645,0.11240000277757645,3.6689345836639404
5,249,,,0.1064453125,3.684670925140381,,,
5,259,,,0.1123046875,3.7267937660217285,,,
5,269,,,0.1181640625,3.7100741863250732,,,
5,279,,,0.123046875,3.6949195861816406,,,
5,289,,,0.119140625,3.6987502574920654,,,
5,293,,,,,0.1454000025987625,0.1454000025987625,3.4994685649871826
6,299,,,0.130859375,3.6131622791290283,,,
6,309,,,0.13671875,3.6413114070892334,,,
6,319,,,0.1259765625,3.6465871334075928,,,
6,329,,,0.1416015625,3.5853781700134277,,,
6,339,,,0.1279296875,3.6524243354797363,,,
6,342,,,,,0.1454000025987625,0.14059999585151672,3.508427381515503
7,349,,,0.1484375,3.5670719146728516,,,
7,359,,,0.13671875,3.613100528717041,,,
7,369,,,0.1376953125,3.5279433727264404,,,
7,379,,,0.1435546875,3.571568012237549,,,
7,389,,,0.134765625,3.5737557411193848,,,
7,391,,,,,0.15039999783039093,0.15039999783039093,3.4731011390686035
8,399,,,0.1474609375,3.584578275680542,,,
8,409,,,0.134765625,3.551555871963501,,,
8,419,,,0.1435546875,3.615109920501709,,,
8,423,0.14880000054836273,3.474921464920044,,,,,
