epoch,step,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,0.0146484375,4.519596099853516,,,
0,19,0.0234375,4.433579921722412,,,
0,29,0.01953125,4.423782825469971,,,
0,39,0.021484375,4.3505635261535645,,,
0,48,,,0.022600000724196434,0.022600000724196434,4.398396968841553
1,49,0.0341796875,4.247878074645996,,,
1,59,0.0322265625,4.242656230926514,,,
1,69,0.03125,4.305714130401611,,,
1,79,0.033203125,4.285667419433594,,,
1,89,0.02734375,4.218235969543457,,,
1,97,,,0.03460000082850456,0.03460000082850456,4.180108070373535
2,99,0.033203125,4.227188587188721,,,
2,109,0.037109375,4.202156066894531,,,
2,119,0.037109375,4.25488805770874,,,
2,129,0.0419921875,4.204888820648193,,,
2,139,0.0390625,4.181037902832031,,,
2,146,,,0.03579999879002571,0.03579999879002571,4.142999649047852
3,149,0.048828125,4.14123010635376,,,
3,159,0.046875,4.1518683433532715,,,
3,169,0.033203125,4.155647277832031,,,
3,179,0.04296875,4.1355299949646,,,
3,189,0.044921875,4.098291397094727,,,
3,195,,,0.04960000142455101,0.04960000142455101,4.103874683380127
4,199,0.0439453125,4.064373970031738,,,
4,209,0.064453125,4.051509857177734,,,
4,219,0.056640625,4.1133646965026855,,,
4,229,0.0615234375,4.036507606506348,,,
4,239,0.048828125,4.053745269775391,,,
4,244,,,0.07280000299215317,0.07280000299215317,3.916959047317505
5,249,0.068359375,3.9948463439941406,,,
5,259,0.0693359375,4.004607677459717,,,
5,269,0.0537109375,4.089685916900635,,,
5,279,0.080078125,3.986041784286499,,,
5,289,0.0771484375,3.9461233615875244,,,
5,293,,,0.07280000299215317,0.06700000166893005,3.9296977519989014
6,299,0.07421875,3.951967716217041,,,
6,309,0.0869140625,3.874116897583008,,,
6,319,0.0810546875,3.917844295501709,,,
6,329,0.080078125,3.974957227706909,,,
6,339,0.083984375,3.8137199878692627,,,
6,342,,,0.08340000361204147,0.08340000361204147,3.7940354347229004
7,349,0.0908203125,3.8572261333465576,,,
7,359,0.0732421875,3.909069538116455,,,
7,369,0.080078125,3.895097017288208,,,
7,379,0.0869140625,3.8500447273254395,,,
7,389,0.08203125,3.8205413818359375,,,
7,391,,,0.1005999967455864,0.1005999967455864,3.7116172313690186
8,399,0.0947265625,3.7958643436431885,,,
8,409,0.095703125,3.7335715293884277,,,
8,419,0.09375,3.821167230606079,,,
8,429,0.10546875,3.819791793823242,,,
8,439,0.10546875,3.85105562210083,,,
8,440,,,0.1005999967455864,0.09960000216960907,3.7131524085998535
9,449,0.087890625,3.791579008102417,,,
9,459,0.1083984375,3.730841636657715,,,
9,469,0.1171875,3.707181692123413,,,
9,479,0.1044921875,3.7520670890808105,,,
9,489,0.09669811278581619,3.767914295196533,,,
9,489,,,0.10119999945163727,0.10119999945163727,3.687715530395508
10,499,0.095703125,3.8155157566070557,,,
10,509,0.1005859375,3.688646078109741,,,
10,519,0.1083984375,3.6783840656280518,,,
10,529,0.11328125,3.6878254413604736,,,
10,538,,,0.12120000272989273,0.12120000272989273,3.5897057056427
11,539,0.1171875,3.681044816970825,,,
11,549,0.1259765625,3.6394989490509033,,,
11,559,0.115234375,3.6485304832458496,,,
11,569,0.1171875,3.635380983352661,,,
11,579,0.1181640625,3.6497738361358643,,,
11,587,,,0.12120000272989273,0.1096000000834465,3.728886842727661
12,589,0.146484375,3.55891752243042,,,
12,599,0.119140625,3.6537439823150635,,,
12,609,0.107421875,3.689732313156128,,,
12,619,0.123046875,3.6476757526397705,,,
12,629,0.115234375,3.6400654315948486,,,
12,636,,,0.12380000203847885,0.12380000203847885,3.6477596759796143
13,639,0.1240234375,3.639798879623413,,,
13,649,0.1357421875,3.567553997039795,,,
13,659,0.1435546875,3.482807159423828,,,
13,669,0.1318359375,3.5863327980041504,,,
13,679,0.1416015625,3.5535523891448975,,,
13,685,,,0.131400004029274,0.131400004029274,3.5198638439178467
14,689,0.1484375,3.5117123126983643,,,
14,699,0.1318359375,3.5958564281463623,,,
14,709,0.1142578125,3.612236738204956,,,
14,719,0.1435546875,3.5000393390655518,,,
14,729,0.13671875,3.528585910797119,,,
14,734,,,0.14579999446868896,0.14579999446868896,3.432504177093506
15,739,0.1474609375,3.429321765899658,,,
15,749,0.134765625,3.4665324687957764,,,
15,759,0.1474609375,3.5066566467285156,,,
15,769,0.1552734375,3.50433087348938,,,
15,779,0.1572265625,3.484776496887207,,,
15,783,,,0.16439999639987946,0.16439999639987946,3.3713016510009766
16,789,0.166015625,3.4881510734558105,,,
16,799,0.154296875,3.4538474082946777,,,
16,809,0.1513671875,3.4961118698120117,,,
16,819,0.1484375,3.4870448112487793,,,
16,829,0.1484375,3.479233980178833,,,
16,832,,,0.16439999639987946,0.1485999971628189,3.4982190132141113
17,839,0.13671875,3.4839937686920166,,,
17,849,0.1796875,3.3522109985351562,,,
17,859,0.1591796875,3.420419931411743,,,
17,869,0.1455078125,3.4006447792053223,,,
17,879,0.130859375,3.552428960800171,,,
17,881,,,0.16580000519752502,0.16580000519752502,3.319929838180542
18,889,0.1484375,3.4255013465881348,,,
18,899,0.16796875,3.4186112880706787,,,
18,909,0.1611328125,3.459437370300293,,,
18,919,0.138671875,3.5278146266937256,,,
18,929,0.1640625,3.416027069091797,,,
