epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.021484375,4.438906192779541,,,
0,19,,,0.046875,4.241244316101074,,,
0,29,,,0.046875,4.2094035148620605,,,
0,39,,,0.0546875,4.094796180725098,,,
0,48,,,,,0.05739999935030937,0.05739999935030937,4.066139221191406
1,49,,,0.0556640625,4.0969719886779785,,,
1,59,,,0.0673828125,4.039627552032471,,,
1,69,,,0.0732421875,3.987269639968872,,,
1,79,,,0.0693359375,3.9896795749664307,,,
1,89,,,0.0869140625,3.916515827178955,,,
1,97,,,,,0.0934000015258789,0.0934000015258789,3.8281288146972656
2,99,,,0.08203125,3.9103853702545166,,,
2,109,,,0.099609375,3.904742956161499,,,
2,119,,,0.095703125,3.9034407138824463,,,
2,129,,,0.107421875,3.8400604724884033,,,
2,139,,,0.09375,3.834214448928833,,,
2,146,,,,,0.1128000020980835,0.1128000020980835,3.761611223220825
3,149,,,0.10546875,3.7692325115203857,,,
3,159,,,0.0986328125,3.785601854324341,,,
3,169,,,0.09765625,3.827629566192627,,,
3,179,,,0.1005859375,3.8290514945983887,,,
3,189,,,0.115234375,3.8087310791015625,,,
3,195,,,,,0.11320000141859055,0.11320000141859055,3.6649279594421387
4,199,,,0.125,3.763392210006714,,,
4,209,,,0.1259765625,3.685518741607666,,,
4,219,,,0.1396484375,3.740964412689209,,,
4,229,,,0.1279296875,3.6730048656463623,,,
4,239,,,0.126953125,3.724853038787842,,,
4,244,,,,,0.14020000398159027,0.14020000398159027,3.5837159156799316
5,249,,,0.12109375,3.7723886966705322,,,
5,259,,,0.15625,3.6044530868530273,,,
5,269,,,0.12109375,3.6907215118408203,,,
5,279,,,0.1318359375,3.61914324760437,,,
5,289,,,0.1337890625,3.633913278579712,,,
5,293,,,,,0.15760000050067902,0.15760000050067902,3.4544119834899902
6,299,,,0.1328125,3.6109747886657715,,,
6,309,,,0.154296875,3.560521364212036,,,
6,319,,,0.1416015625,3.662851333618164,,,
6,329,,,0.154296875,3.5843286514282227,,,
6,339,,,0.1494140625,3.6295576095581055,,,
6,342,,,,,0.1754000037908554,0.1754000037908554,3.372950315475464
7,349,,,0.1650390625,3.522265911102295,,,
7,359,,,0.154296875,3.5520007610321045,,,
7,369,,,0.1748046875,3.4643912315368652,,,
7,379,,,0.1630859375,3.4884729385375977,,,
7,389,,,0.1513671875,3.525742769241333,,,
7,391,,,,,0.18639999628067017,0.18639999628067017,3.3000309467315674
8,399,,,0.1630859375,3.550966501235962,,,
8,409,,,0.1796875,3.484391212463379,,,
8,419,,,0.1435546875,3.5416038036346436,,,
8,429,,,0.154296875,3.524707317352295,,,
8,439,,,0.1591796875,3.5262272357940674,,,
8,440,,,,,0.19179999828338623,0.19179999828338623,3.301997661590576
9,449,,,0.16796875,3.4679837226867676,,,
9,459,,,0.1650390625,3.4665751457214355,,,
9,469,,,0.18359375,3.3990540504455566,,,
9,479,,,0.1689453125,3.4360454082489014,,,
9,489,,,0.17570754885673523,3.385324478149414,,,
9,489,,,,,0.19300000369548798,0.19300000369548798,3.3449440002441406
10,499,,,0.1640625,3.4042084217071533,,,
10,509,,,0.18359375,3.4134271144866943,,,
10,519,,,0.1787109375,3.3714652061462402,,,
10,529,,,0.169921875,3.3501410484313965,,,
10,538,,,,,0.22300000488758087,0.22300000488758087,3.1361169815063477
11,539,,,0.158203125,3.4190707206726074,,,
11,549,,,0.1708984375,3.3638124465942383,,,
11,559,,,0.18359375,3.3069348335266113,,,
11,569,,,0.205078125,3.333987236022949,,,
11,579,,,0.189453125,3.3764617443084717,,,
11,587,,,,,0.2264000028371811,0.2264000028371811,3.0829594135284424
12,589,,,0.1962890625,3.3550150394439697,,,
12,599,,,0.181640625,3.3282217979431152,,,
12,609,,,0.1787109375,3.3792667388916016,,,
12,619,,,0.2138671875,3.225759983062744,,,
12,629,,,0.205078125,3.2868289947509766,,,
12,636,,,,,0.23479999601840973,0.23479999601840973,3.0704681873321533
13,639,,,0.1953125,3.274332284927368,,,
13,649,,,0.2041015625,3.314488410949707,,,
13,659,,,0.2373046875,3.1636013984680176,,,
13,669,,,0.173828125,3.3764395713806152,,,
13,679,,,0.1953125,3.2964260578155518,,,
13,685,,,,,0.23899999260902405,0.23899999260902405,3.060779094696045
14,689,,,0.2099609375,3.2058331966400146,,,
14,699,,,0.1953125,3.325929880142212,,,
14,709,,,0.2158203125,3.24466609954834,,,
14,719,,,0.2265625,3.185101270675659,,,
14,729,,,0.185546875,3.3099358081817627,,,
